Investigador,Nombre del evento,Tipo,Lugar,Ámbito,Productos asociados,Instituciones asociadas,Participantes,Año
Juan Sebastian Trujillo Hernandez,XVth Latin American Conference on the Applications of the Applications of the Mössbauer Effect (LACAME 2016), Congreso,Ciudad de Panamá   - Panamá,Internacional,"Preparation of Fe3O4 nanoparticles and catalytic activity in methylene blue and esterification: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2016
Juan Sebastian Trujillo Hernandez,Coloquio de Física Universidad de Ibagué, Simposio,IBAGUÉ   - Universidad de ibagué,Nacional,"Nuevos materiales magnéticos para aplicaciones en energías renovables: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Organizador , Ponente magistral
",2016
Juan Sebastian Trujillo Hernandez,V Seminario Internacional de Ingeniería Biomédica y Análisis de Imágenes., Seminario,"BOGOTÁ, D.C.   - Universidad de los Andes",Internacional,Ninguno,"UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Asistente
",2009
Juan Sebastian Trujillo Hernandez,"The International Workshop on Quantum Coherence and Decoherence IWQCD1 Universidad del Valle - Cali, Colombia.", Congreso,CALI   - Universidad del Valle - Colombia,Nacional,Ninguno,"UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Asistente
",2012
Juan Sebastian Trujillo Hernandez,XXVI Congreso Nacional de Física, Congreso,MANIZALES   - Universidad Nacional de Colombia Sede Manizalez,Nacional,"Effect of the Co in the structural magnetic properties and mechanical hardness of alloy Nd16(Fe76−xCox)B8 With X = 0, 10, 20 and 25: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2015
Juan Sebastian Trujillo Hernandez,The International Conference on the Applications of the Mossbauer Effect (ICAME 2017)., Congreso,Saint Petersburg   - Saint Petersburg,Internacional,"Exchange coupling in MnAlC/Fe nanocomposite magnets prepared by melt spinning: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Gestionadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2017
Juan Sebastian Trujillo Hernandez,The International Conference on the Applications of the Mossbauer Effect (ICAME 2015)., Congreso,Hamburg   - Hamburgo - Alemania,Internacional,"Preparation of Fe3O4 nanoparticles and catalytic activity in degradation and esterification: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Gestionadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2015
Juan Sebastian Trujillo Hernandez,XXII Congreso Nacional de Física., Congreso,IBAGUÉ   - Universidad del Tolima,Nacional,Ninguno,"UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Asistente
",2007
Juan Sebastian Trujillo Hernandez,The 24th International Workshop on Rare-Earth and Future Permanent Magnets and Their Applications (REPM 16)., Congreso,Darmstadt   - Darmstadt - Alemania,Internacional,"Comparative magnetic and strctural properties study of micro and nanopwders of Nd2Fe14B1 doped with Ni: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2016
Juan Sebastian Trujillo Hernandez,"XII Latin American Conference on the Applications of the Möussbauer Effect. Centro Cultural de la Universidad Nacional Mayor de San Marcos - Lima, Perú", Congreso,"Lima   - Universidad de San Marcos - Lima, Perú",Internacional,"Effect of heat treatment on the magnetic and structural properties of the system Fe56.25Al43.75 prepared by mechanical alloying.: Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2010
